Tree_name,replacement_name
Rhinoclemmys_pulcherrima_AMNH168669,Rhinoclemmys_pulcherrima
Rhinoclemmys_punctularia_HBS123633,Rhinoclemmys_punctularia
Rhinoclemmys_rubida_HBS112647,Rhinoclemmys_rubida
Sacalia_bealei_HBS108668,Sacalia_bealei
Sacalia_quadriocellata_FMNH256542,Sacalia_quadriocellata
Siebenrockiella_crassicollis_FMNH259053,Siebenrockiella_crassicollis
Siebenrockiella_leytensis_LACM183228,Siebenrockiella_leytensis
Staurotypus_salvinii_HBS108669,Staurotypus_salvinii
Staurotypus_triporcatus_HBS117468,Staurotypus_triporcatus
Sternotherus_carinatus_RCT21,Sternotherus_carinatus
Sternotherus_depressus_HBS116244,Sternotherus_depressus
Sternotherus_minor_minor_RCT53,Sternotherus_minor
Sternotherus_odoratus_CAS214343,Sternotherus_odoratus
Stigmochelys_pardalis_HBS109888,Stigmochelys_pardalis
Terrapene_carolina_HBS108689,Terrapene_carolina
Terrapene_coahuila_CD3304,Terrapene_coahuila
Terrapene_nelsoni_Clm5_9,Terrapene_nelsoni
Terrapene_oluteola_HBS108701,Terrapene_ornata
Testudo_graeca_HBS119114,Testudo_graeca
Testudo_hermanni_MVZ244866,Testudo_hermanni
Testudo_horsfieldi_HBS117909,Testudo_horsfieldi
Testudo_kleinmanni_MVZ230631,Testudo_kleinmanni
Testudo_marginata_HBS121593,Testudo_marginata
Trachemys_adiutrix_HBS117931,Trachemys_adiutrix
Trachemys_callirostris_HBS123591,Trachemys_callirostris
Trachemys_decorata_JFP598,Trachemys_decorata
Trachemys_decussata_JFP629,Trachemys_decussata
Trachemys_dorbigni_HBS123595,Trachemys_dorbigni
Trachemys_emolli_HBS117899,Trachemys_emolli
Trachemys_gaigeae_TNHC50874,Trachemys_gaigeae
Trachemys_grayi_MVZ263975,Trachemys_grayi
Trachemys_nebulosa_MVZ137443,Trachemys_nebulosa
Trachemys_selegans_HBS23001,Trachemys_scripta_elegans
Trachemys_sscripta_HBS108687,Trachemys_scripta_scripta
Trachemys_stejnegeri_HBS108728,Trachemys_stejnegeri
Trachemys_taylori_0604LG047,Trachemys_taylori
Trachemys_terrapen_JFP569,Trachemys_terrapen
Trachemys_venusta_HBS117896,Trachemys_venusta
Trionyx_triunguis_Tt24,Trionyx_triunguis
Vijayachelys_silvatica_FMNH224188,Vijayachelys_silvatica
